food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,ML_Cluster,Category
instant lemon tea sweetened,91,0.2,0.018,0.046,0.093,22.3,21.6,0.071,0.3,0.0,0.089,236.2,0.0,0.083,0.0,0.0,0.0,0.006,0.0,0.044,0.0,0.0,0.0,0.0,5.2,0.076,0.0,2.6,0.3,0.0,38.9,0.017,0.048,28.147,0,Low-Cal Carb/Veggie
tea with milk and sugar yorkshire,15,0.5,0.3,0.7,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0,Low-Cal Carb/Veggie
tea blueberry muffin tekanne,4,0.2,0.2,0.6,0.4,0.4,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,Low-Cal Carb/Veggie
chamomile tea,2,0.0,0.028,0.032,0.073,0.4,0.0,0.0,0.0,0.0,0.003,199.4,0.0,0.06,0.05,0.0,0.022,0.0,0.027,0.0,0.0,0.0,0.0,0.0,4.0,0.097,0.2,2.0,0.078,0.0,18.0,0.0,0.006,4.6,0,Low-Cal Carb/Veggie
black tea,2,0.0,0.072,0.032,0.029,0.7,0.0,0.0,0.0,0.0,0.091,236.3,0.0,0.0,0.041,0.0,0.018,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.088,7.1,0.5,2.4,87.7,0.0,0.081,0.72,0,Low-Cal Carb/Veggie
herb tea,2,0.0,0.014,0.043,0.071,0.4,0.0,0.0,0.0,0.0,0.064,199.4,0.0,0.007,0.093,0.0,0.051,0.0,0.096,0.0,0.0,0.0,0.0,0.0,4.0,0.059,0.2,2.0,0.019,0.0,18.0,0.0,0.006,4.6,0,Low-Cal Carb/Veggie
clam tomato juice,80,0.3,0.0,0.0,0.0,18.2,5.5,1.0,0.7,0.0,0.6,145.1,0.0,0.015,0.079,0.0,0.064,0.4,0.1,0.1,8.3,0.0,0.2,0.0,13.3,0.011,0.2,8.3,0.073,18.3,147.7,0.097,0.1,42.0,0,Low-Cal Carb/Veggie
tomato juice,41,0.7,0.043,0.062,0.043,8.6,6.3,2.1,1.0,0.0,0.063,229.0,0.0,0.069,0.2,0.003,0.0,0.2,1.6,0.6,0.2,170.3,0.0,0.8,0.056,24.3,0.1,0.9,26.7,0.2,46.2,527.3,0.067,12.742,0,Low-Cal Carb/Veggie
vegetable juice,53,0.2,0.071,0.016,0.1,11.1,7.9,1.5,1.9,0.0,0.1,226.3,0.0,0.0,0.095,0.039,0.0,0.091,1.8,0.6,0.3,67.0,0.0,0.8,0.007,26.6,0.5,1.0,26.6,0.2,41.1,467.1,0.026,15.538,0,Low-Cal Carb/Veggie
tomato vegetable juice,53,0.2,0.014,0.014,0.1,11.1,9.2,1.5,1.9,0.0,0.2,226.3,0.0,0.034,0.047,0.0,0.097,1.8,0.0,0.3,67.0,0.0,0.8,0.085,26.6,0.5,1.0,26.6,0.0,41.1,467.1,0.046,0.5,109.3,0,Low-Cal Carb/Veggie
